open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,month,year,day,day_of_week,quarter,dateClean
613.07,616.205,605.86,611.43,6370303.0,,,611.43,,,1.0,0.0,VOO,ARCX,2025-10-15T00:00:00+0000,10,2025,15,2,4,2025-10-15
604.2,612.14,600.51,608.75,7483600.0,612.14,600.51,608.75,604.2,7493479.0,1.0,0.0,VOO,ARCX,2025-10-14T00:00:00+0000,10,2025,14,1,4,2025-10-14
607.37,611.03,606.58,609.61,6955600.0,611.0272,606.575,609.61,607.37,6968434.0,1.0,0.0,VOO,ARCX,2025-10-13T00:00:00+0000,10,2025,13,0,4,2025-10-13
617.99,619.6,600.23,600.51,13600000.0,619.6,600.23,600.51,617.99,13664157.0,1.0,0.0,VOO,ARCX,2025-10-10T00:00:00+0000,10,2025,10,4,4,2025-10-10
619.23,619.59,615.28,617.1,5891900.0,619.59,615.28,617.1,619.23,5898496.0,1.0,0.0,VOO,ARCX,2025-10-09T00:00:00+0000,10,2025,9,3,4,2025-10-09
616.22,618.9,615.46,618.77,5022700.0,618.9,615.4642,618.77,616.215,5035243.0,1.0,0.0,VOO,ARCX,2025-10-08T00:00:00+0000,10,2025,8,2,4,2025-10-08
618.3,618.74,613.82,615.2,7454400.0,618.7393,613.82,615.2,618.3,7466277.0,1.0,0.0,VOO,ARCX,2025-10-07T00:00:00+0000,10,2025,7,1,4,2025-10-07
617.46,618.28,615.48,617.4,6037800.0,618.28,615.48,617.4,617.46,6056437.0,1.0,0.0,VOO,ARCX,2025-10-06T00:00:00+0000,10,2025,6,0,4,2025-10-06
615.95,618.42,614.29,615.3,7204500.0,618.42,614.288,615.3,615.95,7210689.0,1.0,0.0,VOO,ARCX,2025-10-03T00:00:00+0000,10,2025,3,4,4,2025-10-03
616.41,616.48,613.02,615.25,7130200.0,616.48,613.02,615.25,616.41,7139472.0,1.0,0.0,VOO,ARCX,2025-10-02T00:00:00+0000,10,2025,2,3,4,2025-10-02
609.7,615.39,609.57,614.57,10011400.0,615.39,609.57,614.57,609.7,10019981.0,1.0,0.0,VOO,ARCX,2025-10-01T00:00:00+0000,10,2025,1,2,4,2025-10-01
609.43,612.86,608.27,612.38,6503800.0,612.86,608.27,612.38,609.43,6515666.0,1.0,0.0,VOO,ARCX,2025-09-30T00:00:00+0000,9,2025,30,1,3,2025-09-30
610.79,611.68,608.48,610.13,5646400.0,611.68,608.48,610.13,610.79,5658835.0,1.0,0.0,VOO,ARCX,2025-09-29T00:00:00+0000,9,2025,29,0,3,2025-09-29
608.03,610.7,606.57,610.16,6435800.0,610.7,606.565,610.16,608.03,6438634.0,1.0,0.0,VOO,ARCX,2025-09-26T00:00:00+0000,9,2025,26,4,3,2025-09-26
606.62,607.93,603.35,606.59,6955800.0,607.93,603.35,606.59,606.62,6965655.0,1.0,0.0,VOO,ARCX,2025-09-25T00:00:00+0000,9,2025,25,3,3,2025-09-25
612.63,612.74,608.19,609.5,23780800.0,612.74,608.19,609.5,612.63,23787299.0,1.0,0.0,VOO,ARCX,2025-09-24T00:00:00+0000,9,2025,24,2,3,2025-09-24
614.71,615.26,610.34,611.54,10744200.0,615.26,610.341,611.54,614.705,10752999.0,1.0,0.0,VOO,ARCX,2025-09-23T00:00:00+0000,9,2025,23,1,3,2025-09-23
610.52,615.22,610.51,614.76,11570600.0,615.22,610.51,614.76,610.52,11583809.0,1.0,0.0,VOO,ARCX,2025-09-22T00:00:00+0000,9,2025,22,0,3,2025-09-22
610.62,612.67,608.85,611.78,6057300.0,612.67,608.85,611.78,610.62,6065655.0,1.0,0.0,VOO,ARCX,2025-09-19T00:00:00+0000,9,2025,19,4,3,2025-09-19
608.55,611.31,607.07,608.94,11042500.0,611.31,607.07,608.94,608.55,11057536.0,1.0,0.0,VOO,ARCX,2025-09-18T00:00:00+0000,9,2025,18,3,3,2025-09-18
