open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,month,year,day,day_of_week,quarter,date,per_change,movement
604.2,612.14,600.51,608.75,7483600.0,612.14,600.51,608.75,604.2,7493479.0,1.0,0.0,VOO,ARCX,10,2025,14,1,4,2025-10-14,0.753061900033094,1
607.37,611.03,606.58,609.61,6955600.0,611.0272,606.575,609.61,607.37,6968434.0,1.0,0.0,VOO,ARCX,10,2025,13,0,4,2025-10-13,0.36880320068492173,1
617.99,619.6,600.23,600.51,13600000.0,619.6,600.23,600.51,617.99,13664157.0,1.0,0.0,VOO,ARCX,10,2025,10,4,4,2025-10-10,-2.8285247334099286,0
619.23,619.59,615.28,617.1,5891900.0,619.59,615.28,617.1,619.23,5898496.0,1.0,0.0,VOO,ARCX,10,2025,9,3,4,2025-10-09,-0.3439755825783627,0
616.22,618.9,615.46,618.77,5022700.0,618.9,615.4642,618.77,616.215,5035243.0,1.0,0.0,VOO,ARCX,10,2025,8,2,4,2025-10-08,0.41381324851513335,1
618.3,618.74,613.82,615.2,7454400.0,618.7393,613.82,615.2,618.3,7466277.0,1.0,0.0,VOO,ARCX,10,2025,7,1,4,2025-10-07,-0.5013747371825827,0
617.46,618.28,615.48,617.4,6037800.0,618.28,615.48,617.4,617.46,6056437.0,1.0,0.0,VOO,ARCX,10,2025,6,0,4,2025-10-06,-0.009717228646399624,0
615.95,618.42,614.29,615.3,7204500.0,618.42,614.288,615.3,615.95,7210689.0,1.0,0.0,VOO,ARCX,10,2025,3,4,4,2025-10-03,-0.10552804610765337,0
616.41,616.48,613.02,615.25,7130200.0,616.48,613.02,615.25,616.41,7139472.0,1.0,0.0,VOO,ARCX,10,2025,2,3,4,2025-10-02,-0.1881864343537529,0
609.7,615.39,609.57,614.57,10011400.0,615.39,609.57,614.57,609.7,10019981.0,1.0,0.0,VOO,ARCX,10,2025,1,2,4,2025-10-01,0.7987534853206502,1
609.43,612.86,608.27,612.38,6503800.0,612.86,608.27,612.38,609.43,6515666.0,1.0,0.0,VOO,ARCX,9,2025,30,1,3,2025-09-30,0.4840588746861897,1
610.79,611.68,608.48,610.13,5646400.0,611.68,608.48,610.13,610.79,5658835.0,1.0,0.0,VOO,ARCX,9,2025,29,0,3,2025-09-29,-0.10805677892564845,0
608.03,610.7,606.57,610.16,6435800.0,610.7,606.565,610.16,608.03,6438634.0,1.0,0.0,VOO,ARCX,9,2025,26,4,3,2025-09-26,0.35031166225350646,1
606.62,607.93,603.35,606.59,6955800.0,607.93,603.35,606.59,606.62,6965655.0,1.0,0.0,VOO,ARCX,9,2025,25,3,3,2025-09-25,-0.004945435363155305,0
612.63,612.74,608.19,609.5,23780800.0,612.74,608.19,609.5,612.63,23787299.0,1.0,0.0,VOO,ARCX,9,2025,24,2,3,2025-09-24,-0.5109119697043885,0
614.71,615.26,610.34,611.54,10744200.0,615.26,610.341,611.54,614.705,10752999.0,1.0,0.0,VOO,ARCX,9,2025,23,1,3,2025-09-23,-0.5156903255193624,0
610.52,615.22,610.51,614.76,11570600.0,615.22,610.51,614.76,610.52,11583809.0,1.0,0.0,VOO,ARCX,9,2025,22,0,3,2025-09-22,0.6944899429994118,1
610.62,612.67,608.85,611.78,6057300.0,612.67,608.85,611.78,610.62,6065655.0,1.0,0.0,VOO,ARCX,9,2025,19,4,3,2025-09-19,0.18997084930070554,0
608.55,611.31,607.07,608.94,11042500.0,611.31,607.07,608.94,608.55,11057536.0,1.0,0.0,VOO,ARCX,9,2025,18,3,3,2025-09-18,0.06408676361845372,0
606.84,608.33,601.55,606.09,11599500.0,608.33,601.55,606.09,606.84,11613628.0,1.0,0.0,VOO,ARCX,9,2025,17,2,3,2025-09-17,-0.12359106189440379,0
608.16,608.42,606.06,606.79,6382200.0,608.42,606.0609,606.79,608.16,6393185.0,1.0,0.0,VOO,ARCX,9,2025,16,1,3,2025-09-16,-0.22526966587740144,0
606.47,607.77,606.2,607.59,7705000.0,607.77,606.2,607.59,606.47,7710693.0,1.0,0.0,VOO,ARCX,9,2025,15,0,3,2025-09-15,0.18467525186736433,0
604.59,605.98,603.95,604.44,8124900.0,605.98,603.95,604.44,604.59,8130498.0,1.0,0.0,VOO,ARCX,9,2025,12,4,3,2025-09-12,-0.024810201955040155,0
601.43,605.23,600.89,604.57,9101200.0,605.23,600.89,604.57,601.43,9109717.0,1.0,0.0,VOO,ARCX,9,2025,11,3,3,2025-09-11,0.5220890211662372,1
600.92,601.75,598.16,599.68,21625400.0,601.75,598.16,599.68,600.92,21641066.0,1.0,0.0,VOO,ARCX,9,2025,10,2,3,2025-09-10,-0.20635026293017528,0
596.61,598.37,595.01,597.95,7831900.0,598.37,595.01,597.95,596.61,7844787.0,1.0,0.0,VOO,ARCX,9,2025,9,1,3,2025-09-09,0.22460233653476006,0
596.31,597.41,595.03,596.5,9465000.0,597.41,595.03,596.5,596.31,9472235.0,1.0,0.0,VOO,ARCX,9,2025,8,0,3,2025-09-08,0.0318626217906885,0
598.91,599.6,591.45,594.96,6631000.0,599.6,591.45,594.96,598.91,6641512.0,1.0,0.0,VOO,ARCX,9,2025,5,4,3,2025-09-05,-0.6595314821926386,0
